RUN	simulations.SimulationAuthServerPHP7WithAuth	simulationauthserverphp7withauth	1710972301528	 	3.2.1
REQUEST	108		Nginx_Auth Server+PHP7	1710972308409	1710972308453	OK	 
USER	Login on Nginx PHP7 + Auth Server in Node	108	END	1710972308408	1710972308453
USER	Login on Nginx PHP7 + Auth Server in Node	110	START	1710972308478	1710972308478
REQUEST	109		Nginx_Auth Server+PHP7	1710972308449	1710972308493	OK	 
USER	Login on Nginx PHP7 + Auth Server in Node	109	END	1710972308449	1710972308494
USER	Login on Nginx PHP7 + Auth Server in Node	111	START	1710972308519	1710972308519
REQUEST	110		Nginx_Auth Server+PHP7	1710972308479	1710972308523	OK	 
USER	Login on Nginx PHP7 + Auth Server in Node	110	END	1710972308478	1710972308524
USER	Login on Nginx PHP7 + Auth Server in Node	112	START	1710972308558	1710972308558
REQUEST	111		Nginx_Auth Server+PHP7	1710972308519	1710972308567	OK	 
USER	Login on Nginx PHP7 + Auth Server in Node	111	END	1710972308519	1710972308568
USER	Login on Nginx PHP7 + Auth Server in Node	113	START	1710972308599	1710972308599
REQUEST	112		Nginx_Auth Server+PHP7	1710972308559	1710972308603	OK	 
USER	Login on Nginx PHP7 + Auth Server in Node	112	END	1710972308558	1710972308604
